Transaction ID,Customer ID,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied
TXN_1638586,,Food,Item_6_FOOD,,29.0,-75.0,Creditt Card,Online,2023-05-19,
TXN_3827227,CUST_25,Misc,Item_2_MILK,-6.5,2.0,13.0,Digital Wallet,In-store,2022-05-14,
,CUST_03,cat1,,$$$,57.0,40.0,,Online,2024-11-23,
TXN_7189749,CUST_24,Butchers,,18.5,N/A,946.4476498955104,,,2002-05-18,
TXN_2126674,CUST_16,Milk Products,Tableet,226.81196173270888,-3.0,,Digital Wallet,In-store,2024-10-29,False
TXN_4702637,CUST_24,undefined,,,9.0,369.0,paypal,In-store,2024-06-20,True
TXN_7761566,CUST_10,undefined,Item_12_FOOD,21.5,2.0,-462.89606254917027,Cash,,2022-04-19,False
TXN_3876726,CUST_05,Electric household essentials,Item_9_EHE,127.41737849241449,unknown,N/A,Cash,UNKNOWN,2008-06-07,True
TXN_3228673,,Electric household essentials,Item_20_EHE,$$$,,,???,In-store,2025-01-04,False
,CUST_14,???,,$$$,,,Cahs,In-store,01/01/2023,
TXN_7672297,CUST_06,Food,item_x,N/A,error,140.0,,In-store,2023-03-30,True
TXN_7157580,CUST_14,Food,,21.5,-9.0,193.5,Digital Wallet,Online,2022-11-05,False
TXN_2080372,,,N/A,193.42303412637568,,,N/A,Online,1993-12-13,False
TXN_2163609,,Milk Products,UNKNOWN,14.0,,183.91273628078503,paypal,In-store,,True
TXN_5841902,CUST_05,Misc,Item_6_MILK,12.5,,12.5,Creditt Card,Online,10-07-2023,True
TXN_9967357,CUST_13,Beverages,Item_2_BEV,-6.5,9.0,-58.5,Cahs,In-store,2023-05-24,False
TXN_9257483,CUST_14,Patisserie,Item_9_PAT,17.0,7.0,119.0,Credit Card,In-store,01/01/2023,False
TXN_4011164,CUST_08,Food,PHON3,196.17876945035877,2.0,$$$,Credit Card,In-store,2022-10-13,False
TXN_2634868,CUST_13,Patisserie,Laptoppp,$$$,4.0,162.63596510439618,undefined,In-store,2024-06-26,False
TXN_7263862,CUST_08,,Item_2_MILK,284.1405629575989,8.0,52.0,Wiretransfer,In-store,2024-07-08,Y
TXN_8568373,3170,Furniture,,unknown,,344.618464611313,Credit Card,In-store,1996-11-20,True
TXN_7928872,CUST_18,Computers and electric accessories,undefined,N/A,unknown,,Creditt Card,In-store,2022-12-28,True
TXN_7603720,CUST_14,cat1,Item_13_FOOD,23.0,-5.0,115.0,Cash,Online,,
TXN_8846106,CUST_19,Beverages,N/A,,,,Digital Wallet,In-store,11-08-2006,True
TXN_1720595,CUST_23,???,Item_17_PAT,29.0,error,116.0,,UNKNOWN,,False
TXN_4340729,cust_1409,cat1,Item_24_BEV,$$$,40.0,-433.77038481653557,,In-store,02/10/2024,
TXN_5746885,CUST_03,Computers and electric accessories,,,N/A,N/A,Cash,Online,,
TXN_8145370,CUST_12,Butchers,Item_16_BUT,-27.5,,-275.0,,In-store,13/12/2022,1
TXN_6397794,CUST_03,Food,???,20.0,38.0,unknown,Digital Wallet,Online,2024/05/21,False
TXN_4639732,CUST_11,Beverages,Item_19_BEV,,2.0,64.0,,In-store,2023-09-27,False
TXN_2016332,,Patisserie,,209.30992350788767,45.0,-30.0,Digital Wallet,Online,2022-12-17,True
TXN_7709385,CUST_14,Computers and electric accessories,undefined,,1.0,35.0,,In-store,2023-08-03,
TXN_3987229,CUST_25,Beverages,,,50.0,-462.34816826264444,,Online,,False
TXN_4494180,CUST_19,Furniture,???,N/A,,74.0,,Online,,True
TXN_7953083,CUST_12,Electric household essentials,,32.0,,-391.6995556678399,Cash,In-store,,False
TXN_3311484,,CAT_X,,15.5,,46.5,Cash,Online,2022-08-13,False
TXN_4574096,,Milk Products,UNKNOWN,20.0,8.0,160.0,,Loc_X,2025-01-02,True
TXN_1197350,CUST_22,???,Item_20_BUT,-33.5,N/A,88.62034427094287,,,2024-06-10,True
TXN_8949747,CUST_21,Milk Products,Item_11_MILK,$$$,50.0,744.0634723801289,Digital Wallet,Online,2022-01-29,False
TXN_7871362,,cat1,Item_8_BUT,,2.0,31.0,Cash,Online,2022-06-20,True
TXN_9861733,CUST_08,Beverages,,,-2.0,unknown,,???,1990-03-24,
TXN_3599152,CUST_03,Misc,,190.58674846821768,7.0,,Digital Wallet,In-store,2000-07-02,False
TXN_9536237,CUST_20,Furniture,???,,error,303.2098125433562,Credit Card,Online,2026-05-12,True
TXN_6049911,CUST_10,,UNKNOWN,error,1.0,828.3408357684041,Digital Wallet,In-store,01/01/2023,False
TXN_5687979,CUST_20,Patisserie,Item_19_PAT,32.0,28.0,127.81335323945547,Cash,In-store,2001-09-06,
TXN_5377436,CUST_09,Patisserie,undefined,237.5141406233773,4.0,116.0,Digital Wallet,In-store,,True
TXN_8397219,CUST_24,Milk Products,undefined,36.5,N/A,error,Credit Card,Online,2022-10-16,False
TXN_1481703,CUST_04,UNKNOWN,Item_5_FOOD,221.79447853746953,5.0,unknown,Credit Card,Loc_X,2022-01-20,
TXN_9531538,CUST_14,Computers and electric accessories,,35.0,N/A,-315.0,,In-store,,
TXN_8537294,1423,Patisserie,,29.0,N/A,,,In-store,2026-06-29,
TXN_2651559,CUST_23,Butchers,Item_6_BUT,12.5,8.0,error,,In-store,13/07/2022,
TXN_6124741,CUST_17,,PHON3,167.2941089095366,3.0,234.4774190270722,Cash,,2022-04-17,True
TXN_2771791,CUST_13,,Tableet,8.0,error,4711.7599072551075,Digital Wallet,???,2022-03-06,
TXN_5043649,CUST_19,Butchers,,N/A,7.0,182.0,Digital Wallet,Online,,True
TXN_7132653,CUST_11,Computers and electric accessories,Item_11_CEA,20.0,,60.0,Credit Card,Online,2024-04-12,False
TXN_9440172,CUST_20,Beverages,Item_25_BEV,error,-9.0,871.486243604922,Credit Card,In-store,2023-10-25,False
TXN_9841835,CUST_01,,Tableet,N/A,1.0,1379.2727320435047,Digital Wallet,In-store,2022-02-01,
TXN_7180080,CUST_18,Butchers,,180.31933072114975,58.0,4694.6269977153925,Cash,In-store,,1
TXN_2138805,CUST_07,Computers and electric accessories,undefined,-17.0,,68.0,,Online,2022-06-24,False
TXN_4817603,CUST_11,Milk Products,PHON3,N/A,3.0,758.6566090182532,,In-store,2022-07-09,
TXN_5814800,,Electric household essentials,undefined,,,-156.0,Digital Wallet,In-store,13-08-2024,True
TXN_4939015,CUST_10,CAT_X,Item_15_BEV,,5.0,130.0,,Loc_X,2027-09-21,True
TXN_5637756,CUST_19,Electric household essentials,,41.0,error,,Cash,Online,28/01/2024,False
TXN_1782376,,Butchers,,error,,129.0,Cahs,Online,2022-03-24,True
TXN_5266941,CUST_03,Patisserie,,190.80383098403834,error,,Digital Wallet,Online,2024-04-05,True
TXN_2729995,CUST_03,Beverages,,$$$,-1.0,20.0,Cash,In-store,2003-07-21,
TXN_3088437,CUST_11,Misc,Item_22_BUT,-36.5,error,unknown,Wiretransfer,,1991-09-20,True
TXN_2900952,CUST_20,Misc,Item_16_CEA,,,error,Digital Wallet,In-store,2027-09-04,
TXN_7764643,CUST_08,Food,Tableet,,6.0,316.6892497892425,,,2024-04-01,True
TXN_5475355,CUST_02,Electric household essentials,,$$$,-4.0,-837.2181354202274,Credit Card,Online,01/01/2023,False
TXN_4954934,CUST_13,,N/A,254.81737169220784,error,134.0,Cash,In-store,13/08/2024,False
TXN_2489260,CUST_17,Butchers,Tableet,-33.5,7.0,234.5,Digital Wallet,In-store,2022-01-01,True
TXN_3480703,CUST_25,,Item_16_MILK,27.5,unknown,$$$,Credit Card,Online,2022-06-26,False
TXN_2461753,CUST_12,Computers and electric accessories,,32.0,-10.0,-320.0,Cash,Online,,
TXN_8444157,CUST_11,Patisserie,,150.148542522896,N/A,,Digital Wallet,Online,,False
TXN_5471275,CUST_14,,Item_5_FOOD,11.0,,66.0,Cahs,Online,2014-06-24,True
TXN_5162529,CUST_15,Milk Products,Item_8_MILK,,8.0,N/A,Cash,Online,1990-05-03,False
TXN_9256189,CUST_20,,Item_15_BUT,277.30793932516116,2.0,52.0,Cash,Online,2026-06-05,True
TXN_6204485,CUST_08,CAT_X,,-15.5,,108.5,Credit Card,Online,2027-06-11,
TXN_5118834,CUST_08,Computers and electric accessories,item_x,,4.0,110.0,Credit Card,In-store,2022-04-25,True
TXN_4865786,CUST_14,???,Item_8_EHE,error,,,Cash,Online,2023-02-25,False
TXN_6012297,CUST_18,CAT_X,Item_6_FUR,-12.5,N/A,62.5,Digital Wallet,Online,2024-08-26,False
TXN_8885533,CUST_09,,Item_24_BUT,39.5,1.0,,,Online,2027-12-05,
TXN_7659597,CUST_11,Patisserie,Item_8_PAT,292.6147624976441,,unknown,Credit Card,Online,1990-09-10,True
TXN_7209607,CUST_25,,,-30.5,6.0,error,undefined,In-store,2023-08-25,
TXN_4346191,CUST_18,Electric household essentials,,21.5,6.0,N/A,,Online,2024-11-12,False
TXN_7597485,CUST_14,,Item_19_MILK,error,9.0,,,Loc_X,24/02/2023,True
,CUST_18,Computers and electric accessories,N/A,,3.0,-42.0,,Online,2001-12-22,True
TXN_9978007,,,,$$$,error,,Cash,In-store,2027-09-12,no
TXN_2472234,CUST_08,,Tableet,N/A,N/A,,,,2022-01-23,
TXN_9912310,CUST_01,,,26.0,10.0,260.0,,In-store,,False
TXN_1654267,CUST_03,Other,item_x,41.0,error,unknown,Cash,Online,,False
TXN_4238718,CUST_01,Computers and electric accessories,,226.70789748771048,error,-1024.5131008691008,Credit Card,Online,2024-01-19,False
TXN_7548856,CUST_23,,item_x,21.5,error,1469.335343102942,Cash,Loc_X,2024-06-16,False
TXN_8762559,CUST_19,,Item_23_PAT,38.0,,1242.9308699432445,Digital Wallet,Online,07-23-2023,False
,CUST_04,Food,Item_17_FOOD,-29.0,-6.0,174.0,,Online,2024-06-30,False
TXN_2017094,CUST_11,Patisserie,Item_17_PAT,,7.0,203.0,N/A,In-store,2008-02-24,False
TXN_4078421,CUST_04,Computers and electric accessories,Item_21_CEA,35.0,,280.0,Credit Card,Online,24.06.2022,False
TXN_9754923,CUST_14,,Item_20_FOOD,N/A,6.0,201.0,,Online,2023-02-14,True
TXN_3471881,CUST_06,Patisserie,,36.5,unknown,unknown,Credit Card,In-store,01/01/2023,
TXN_1845915,1474,,???,N/A,,unknown,Credit Card,In-store,2022-06-27,True
TXN_9161445,CUST_11,UNKNOWN,,-32.626442588657696,unknown,,Cash,In-store,2023-11-03,
TXN_5055889,CUST_08,Patisserie,Item_1_PAT,5.0,54.0,N/A,DEBIT,In-store,,
TXN_3918997,CUST_04,Milk Products,N/A,29.0,8.0,2379.410684632071,,In-store,,False
TXN_5040560,CUST_18,Beverages,,150.26033700153707,-8.0,542.5721631626272,Digital Wallet,Loc_X,2027-06-28,
TXN_7133661,CUST_16,CAT_X,,-49.18181379366848,,unknown,,In-store,2024-01-03,
TXN_2027461,CUST_15,Electric household essentials,Item_11_EHE,error,32.0,1574.7768080748715,Cahs,In-store,24.11.2022,False
TXN_2356756,CUST_04,Beverages,Item_3_BEV,8.0,1.0,-8.0,DEBIT,Online,02-07-2022,
TXN_1498944,,Electric household essentials,Item_10_EHE,127.03511100398414,8.0,unknown,Credit Card,Online,2023-04-01,True
TXN_9012822,CUST_03,Electric household essentials,Item_17_EHE,-29.0,8.0,232.0,N/A,Online,2022-09-02,yes
TXN_9249556,CUST_11,undefined,???,error,,62.0,,In-store,18/06/2022,True
TXN_4990030,CUST_11,UNKNOWN,,203.0095214996836,,unknown,,In-store,2027-11-14,
TXN_5762651,CUST_12,Misc,,-20.0,1.0,error,,Online,2024/02/12,
,CUST_15,Misc,item_x,32.0,27.0,-288.0,Digital Wallet,In-store,2027-04-17,False
,CUST_21,Butchers,Item_15_BUT,125.53686208458411,55.0,N/A,paypal,Online,,True
TXN_9425683,CUST_13,Beverages,Item_6_BEV,,error,,,Online,2022-02-23,False
TXN_5332200,CUST_19,,Item_23_BUT,,unknown,,Digital Wallet,In-store,2024-10-21,
TXN_8771271,CUST_15,N/A,Item_19_CEA,32.0,44.0,-674.6969400001017,Credit Card,Online,2006-08-22,False
TXN_4864899,CUST_09,Milk Products,item_x,,9.0,45.0,???,In-store,2023-09-17,True
TXN_5083959,CUST_06,Computers and electric accessories,Item_25_CEA,41.0,3.0,N/A,Credit Card,In-store,2026-06-20,
TXN_8256476,CUST_07,Computers and electric accessories,,21.5,-3.0,$$$,undefined,In-store,2024-10-08,True
TXN_8319396,CUST_05,Milk Products,UNKNOWN,,8.0,184.0,Cash,Online,05/02/2028,True
TXN_4838523,CUST_11,CAT_X,PHON3,23.0,,1648.54698751546,Credit Card,In-store,,
TXN_3142066,CUST_24,Electric household essentials,PHON3,,,$$$,,Online,,
TXN_4962334,,undefined,Item_23_EHE,38.0,unknown,1034.496681717957,,Online,,False
TXN_8044366,CUST_22,Food,Item_9_FOOD,17.0,5.0,85.0,N/A,Online,2023-02-02,False
TXN_6633737,CUST_03,,,,unknown,1331.7055381445916,undefined,Online,,True
TXN_2886160,CUST_19,CAT_X,Item_22_BUT,$$$,7.0,N/A,,In-store,2022-11-23,False
TXN_2625598,CUST_10,Beverages,Item_15_BEV,26.0,7.0,N/A,Digital Wallet,In-store,15.06.2024,
TXN_9027643,CUST_01,cat1,Item_5_PAT,11.0,,433.7245843768703,Cash,In-store,,
,,UNKNOWN,Item_25_CEA,,,401.6655339722532,DEBIT,Online,2024-09-29,False
TXN_4942678,CUST_11,Patisserie,,295.14461410277573,,$$$,Credit Card,In-store,1994-01-20,True
TXN_9783618,CUST_07,N/A,Item_10_EHE,unknown,N/A,37.0,Cash,Online,2000-07-01,
TXN_4459954,CUST_13,undefined,,17.0,-7.0,,Cash,Online,2024-12-10,
TXN_6576597,CUST_03,,N/A,unknown,9.0,166.5,Cash,Online,2023-02-09,
TXN_7528525,CUST_11,Patisserie,Item_7_PAT,,4.0,189.489098802613,Cash,In-store,2023-05-06,False
TXN_7898780,CUST_23,,,,-6.0,error,Digital Wallet,Online,01/01/2023,
TXN_5333066,CUST_19,Milk Products,,178.54043728763733,52.0,N/A,Digital Wallet,Online,2026-10-22,
TXN_2032621,CUST_05,Electric household essentials,Item_13_EHE,,9.0,207.0,Credit Card,N/A,2024/08/12,False
TXN_5700321,CUST_09,Misc,Laptoppp,273.2931590642297,7.0,unknown,Cash,In-store,2022-08-25,True
TXN_6551677,CUST_23,,PHON3,,55.0,unknown,Digital Wallet,Online,,True
TXN_3377448,CUST_21,Electric household essentials,,199.6994759719148,9.0,$$$,Cash,Online,2016-10-21,
TXN_5225733,8894,Patisserie,UNKNOWN,294.7260055843785,8.0,unknown,,Online,2023-04-08,True
TXN_7151664,CUST_15,Computers and electric accessories,PHON3,$$$,7.0,234.5,???,Online,17.01.2025,
TXN_5573824,CUST_16,Patisserie,Tableet,254.06766380120078,50.0,-251.49246786839888,Digital Wallet,In-store,,True
TXN_7989998,CUST_10,Computers and electric accessories,Item_2_CEA,-6.5,unknown,6.5,,Online,2024-07-22,False
TXN_8552028,CUST_13,Patisserie,,,,1571.7967980898397,Wiretransfer,Online,,True
TXN_2856597,CUST_13,Beverages,UNKNOWN,272.84329475160246,unknown,120.0,Cash,In-store,2012-12-23,True
TXN_3624008,CUST_09,???,Item_24_FOOD,$$$,2.0,79.0,Digital Wallet,In-store,2023-01-28,True
TXN_9452460,CUST_08,undefined,PHON3,12.5,unknown,100.0,,In-store,2026-05-16,
TXN_8293840,CUST_07,undefined,Item_20_BEV,N/A,3.0,100.5,,UNKNOWN,1999-08-06,
